body_0_vel_x,body_0_vel_y,body_0_vel_z
-0.509586,0.190180,0.220231
-0.514784,0.172009,0.337388
-0.579987,0.084379,0.068581
-0.588293,0.086981,0.091404
-0.604906,0.092185,0.137050
-0.621099,0.089700,0.005819
-0.629196,0.088458,-0.059797
-0.646241,0.063875,-0.016345
-0.627596,0.060176,-0.039694
-0.590308,0.052779,-0.086392
-0.562427,0.062771,-0.103071
-0.548487,0.067768,-0.111410
-0.520792,0.036958,-0.135196
-0.485852,0.026495,-0.135818
-0.415971,0.005567,-0.137061
-0.344923,-0.031926,-0.141937
-0.309398,-0.050673,-0.144374
-0.174851,-0.028237,-0.083560
-0.167649,-0.068058,-0.093597
-0.153244,-0.147701,-0.113672
0.101163,-0.127323,-0.004812
0.228367,-0.117134,0.049617
0.127630,-0.201828,-0.065562
0.154753,-0.200720,0.000198
0.208998,-0.198504,0.131720
0.127244,-0.209038,0.140020
0.086367,-0.214305,0.144171
-0.151420,-0.036570,0.260991
-0.194318,-0.029727,0.255882
-0.280116,-0.016041,0.245664
-0.202515,-0.035986,0.261098
-0.163715,-0.045959,0.268815
-0.361998,-0.082100,0.228184
-0.353625,-0.086913,0.239918
-0.336878,-0.096538,0.263384
-0.298564,-0.043786,0.201941
-0.279408,-0.017410,0.171220
-0.161719,-0.088688,0.164620
-0.179465,-0.082974,0.152371
-0.214956,-0.071544,0.127873
-0.147092,-0.242085,0.139097
-0.113161,-0.327355,0.144709
-0.186989,-0.479261,0.026570
-0.160501,-0.387396,-0.049484
-0.107524,-0.203665,-0.201593
-0.131733,-0.209971,-0.315103
-0.143838,-0.213124,-0.371858
-0.129304,-0.201555,-0.092645
-0.112009,-0.250032,-0.181560
-0.077419,-0.346987,-0.359389
-0.082550,-0.222557,-0.253800
-0.085115,-0.160342,-0.201005
0.134439,-0.044492,-0.043287
0.152564,-0.046531,-0.094806
0.188813,-0.050607,-0.197843
0.159020,0.008390,-0.122529
0.144124,0.037888,-0.084872
0.223446,0.113626,-0.129216
0.231140,0.171482,-0.091579
0.246527,0.287194,-0.016304
0.245154,0.266612,-0.014940
0.244467,0.256321,-0.014259
0.173821,0.338387,-0.049185
0.194221,0.305409,-0.015561
0.235019,0.239454,0.051686
0.275583,0.170979,0.026657
0.295866,0.136742,0.014142
0.257127,0.104380,0.057685
0.307660,0.108225,0.096326
0.408726,0.115914,0.173609
0.357099,0.031813,0.147547
0.331285,-0.010238,0.134516
0.436692,-0.066102,0.159486
0.391128,-0.070552,0.133427
0.300000,-0.079453,0.081308
0.336421,-0.197694,0.050004
0.354631,-0.256815,0.034352
0.391481,-0.128153,0.014765
0.443406,-0.132362,-0.015121
0.547256,-0.140782,-0.074893
0.569468,-0.096205,-0.050846
0.580573,-0.073917,-0.038822
0.494943,-0.066247,-0.099898
0.471306,-0.099692,-0.116325
0.424032,-0.166582,-0.149179
0.416417,-0.126207,-0.132145
0.412610,-0.106019,-0.123628
0.352950,-0.061039,-0.097486
0.299039,-0.089457,-0.119928
0.191216,-0.146293,-0.164811
0.065317,-0.182346,-0.074804
0.002368,-0.200373,-0.029801
-0.112989,-0.186646,-0.027228
-0.090649,-0.211873,-0.013616
-0.045970,-0.262328,0.013608
-0.118864,-0.257506,-0.077925
-0.155311,-0.255095,-0.123691
-0.053930,-0.234030,-0.091240
-0.024758,-0.241327,-0.097572
0.033588,-0.255922,-0.110235
0.075903,-0.228785,-0.162789
0.097060,-0.215217,-0.189067
0.125077,-0.203910,-0.124411
0.101193,-0.186956,-0.119602
0.053425,-0.153048,-0.109985
0.033607,-0.121249,-0.121845
0.023698,-0.105350,-0.127775
0.014459,-0.077556,-0.148572
0.012688,-0.084797,-0.133980
0.009147,-0.099277,-0.104794
0.003393,-0.061368,-0.100758
0.000515,-0.042413,-0.098741
-0.013436,-0.009566,-0.098924
-0.016421,-0.012446,-0.097647
-0.022390,-0.018207,-0.095091
-0.035764,-0.028468,-0.094366
-0.042451,-0.033598,-0.094003
-0.046920,-0.030431,-0.056392
-0.047119,-0.027840,-0.046677
-0.047518,-0.022658,-0.027248
-0.047507,-0.019821,-0.021334
-0.047501,-0.018402,-0.018376
-0.041390,-0.014226,-0.010002
-0.038114,-0.012856,-0.008026
-0.031561,-0.010115,-0.004074
-0.023605,-0.007405,-0.002022
-0.019626,-0.006050,-0.000996
-0.006646,-0.002014,-0.000068
-0.004431,-0.001342,-0.000046
