body_0_angvel_x,body_0_angvel_y,body_0_angvel_z
0.118088,-0.591132,0.515701
0.349732,-0.817567,0.750650
0.425624,-0.481043,0.553325
0.463120,-0.312173,0.455580
0.709508,-0.532334,0.641526
0.728076,-0.516708,0.595148
0.765548,-0.484592,0.502850
0.662663,-0.340554,0.495305
0.610895,-0.268777,0.491847
0.931762,0.022848,1.004975
0.858410,0.063711,0.889855
0.710884,0.146106,0.660466
0.908099,0.280895,0.947999
1.006505,0.347925,1.092129
0.976200,0.500981,1.045878
0.912969,0.433967,0.978824
0.787317,0.299969,0.844126
0.935821,-0.221024,0.668542
1.012038,-0.480185,0.578511
0.876313,0.599557,1.199502
0.899543,0.639403,1.299218
0.946421,0.718027,1.499318
1.109124,0.803072,1.215697
1.188905,0.848221,1.073854
0.805018,0.536220,0.807026
0.915736,0.568922,0.783018
1.136488,0.636565,0.734437
0.925741,0.512237,0.701722
0.820777,0.449517,0.685364
1.170622,0.747750,0.756390
1.176273,0.671596,0.714441
1.188232,0.520442,0.628764
0.957195,0.429804,0.589612
0.841913,0.384014,0.570126
1.280934,0.446424,0.688842
1.150490,0.440910,0.640128
0.889337,0.429361,0.543772
1.196047,0.464654,0.583939
1.349436,0.482979,0.603550
1.176029,0.173316,0.825618
1.102330,0.161024,0.751423
0.954962,0.136980,0.603061
0.849035,0.015333,0.409757
0.796332,-0.044882,0.312613
0.723077,-0.257788,1.236699
0.646148,-0.290684,0.955519
0.494572,-0.354312,0.392333
0.445994,-0.387017,0.725518
0.421190,-0.404297,0.891952
0.788908,-0.201615,1.190110
0.557871,-0.025550,1.008598
0.092366,0.323926,0.647447
0.197185,-0.194393,0.762771
0.251459,-0.453258,0.820035
0.653676,-0.615181,1.706424
0.405381,-0.691841,1.409763
-0.084874,-0.849775,0.812510
-0.002233,-0.665597,0.803584
0.038373,-0.573205,0.799420
-0.089869,-0.732570,0.907352
-0.022853,-0.631802,0.959033
0.108588,-0.429009,1.063261
0.034450,-0.222469,1.386899
-0.004404,-0.119794,1.548724
0.659002,-0.306907,2.314862
0.474123,-0.138183,2.222384
0.097284,0.191838,2.039035
0.547696,-0.148343,2.625179
0.776935,-0.314078,2.918024
0.011639,0.025641,2.035577
-0.022685,-0.083075,2.130915
-0.086856,-0.301929,2.322204
0.156235,-0.352631,2.252411
0.278450,-0.375232,2.218245
0.181681,-0.201413,1.467393
0.223932,-0.264547,1.531681
0.310061,-0.389846,1.660441
0.179750,-0.192231,1.219992
0.113830,-0.093845,0.999910
0.334305,-0.244457,1.081845
0.361448,-0.143784,1.181685
0.413107,0.057459,1.382296
0.348648,0.046796,1.076258
0.316421,0.041654,0.923292
0.556862,0.075475,1.606622
0.509748,0.050451,1.217702
0.415737,0.003224,0.439702
0.715329,-0.251715,0.888359
0.865707,-0.379458,1.112166
1.070979,-0.315360,0.300151
0.958503,-0.278947,0.282271
0.733485,-0.206426,0.246592
1.052123,-0.220943,0.348304
1.211378,-0.228189,0.399443
0.773776,-0.126682,0.284559
0.864429,-0.113149,0.413579
1.045399,-0.087573,0.672087
0.861353,-0.161220,0.479148
0.769694,-0.197655,0.382236
0.448544,-0.048813,0.380376
0.407146,-0.081724,0.333573
0.324651,-0.147441,0.239634
0.237224,-0.149423,0.174419
0.193563,-0.150413,0.141744
0.064910,-0.089102,0.089870
-0.005262,-0.140691,0.043754
-0.145429,-0.243935,-0.048671
-0.173584,-0.234432,-0.069856
-0.187633,-0.229690,-0.080490
-0.250216,-0.218116,-0.126105
-0.236381,-0.236564,-0.153606
-0.208641,-0.273634,-0.208456
-0.182107,-0.304308,-0.255205
-0.168809,-0.319723,-0.278512
-0.146301,-0.277094,-0.241377
-0.158968,-0.315581,-0.256469
-0.184406,-0.392543,-0.286613
-0.162053,-0.344960,-0.251871
-0.150877,-0.321171,-0.234501
-0.117349,-0.249800,-0.182390
-0.106173,-0.226009,-0.165019
-0.083821,-0.178429,-0.130279
-0.061469,-0.130848,-0.095538
-0.050293,-0.107057,-0.078167
-0.016764,-0.035686,-0.026056
-0.011176,-0.023791,-0.017371
