body_0_w,body_0_x,body_0_y,body_0_z
-0.113257,-0.313773,-0.028989,-0.942273
-0.102738,-0.317224,-0.024557,-0.942449
-0.093515,-0.315916,-0.017629,-0.944003
-0.084934,-0.312203,-0.009453,-0.946164
-0.070782,-0.318466,-0.005414,-0.945272
-0.055591,-0.325030,-0.001501,-0.944067
-0.038339,-0.332253,0.002162,-0.942408
-0.023208,-0.340217,0.008267,-0.940024
-0.009135,-0.348500,0.015592,-0.937135
0.001150,-0.353696,0.020273,-0.935140
0.011596,-0.359133,0.026072,-0.932850
0.022362,-0.365091,0.034107,-0.930078
0.032091,-0.369858,0.040267,-0.927660
0.041302,-0.374016,0.045487,-0.925385
0.052334,-0.380749,0.053794,-0.921628
0.063030,-0.386663,0.062260,-0.917956
0.073066,-0.391043,0.071058,-0.914712
0.081891,-0.394665,0.077817,-0.911854
0.090109,-0.397898,0.083553,-0.909162
0.101085,-0.401332,0.092851,-0.905590
0.111080,-0.404718,0.101137,-0.902018
0.119143,-0.408127,0.107429,-0.898719
0.128762,-0.411464,0.116338,-0.894753
0.139137,-0.414701,0.126536,-0.890310
0.151131,-0.415609,0.133811,-0.886862
0.162147,-0.416339,0.140695,-0.883502
0.171248,-0.416822,0.146835,-0.880553
0.178365,-0.416086,0.152622,-0.878501
0.184486,-0.414734,0.158232,-0.876883
0.198718,-0.413052,0.158951,-0.874433
0.210190,-0.410716,0.160066,-0.872646
0.216207,-0.407202,0.162021,-0.872462
0.224970,-0.404018,0.162114,-0.871709
0.235090,-0.400970,0.161263,-0.870603
0.248915,-0.399237,0.162869,-0.867251
0.259914,-0.399243,0.163606,-0.863877
0.265339,-0.402850,0.162656,-0.860726
0.273007,-0.401881,0.160760,-0.859136
0.281778,-0.398600,0.158379,-0.858275
0.299951,-0.394106,0.155425,-0.854724
0.314634,-0.389116,0.151238,-0.852479
0.322494,-0.383341,0.144669,-0.853298
0.330288,-0.378811,0.139415,-0.853215
0.338037,-0.374889,0.134814,-0.852651
0.346401,-0.370144,0.128161,-0.852393
0.355278,-0.366043,0.122219,-0.851383
0.365229,-0.363280,0.117719,-0.848986
0.377354,-0.362862,0.112149,-0.844605
0.390508,-0.363560,0.106027,-0.839098
0.412538,-0.360759,0.101911,-0.830229
0.432733,-0.359827,0.097233,-0.820861
0.449544,-0.362887,0.091505,-0.811080
0.472797,-0.361493,0.085721,-0.799023
0.498972,-0.357645,0.079856,-0.785328
0.514876,-0.359340,0.072778,-0.774907
0.531251,-0.360282,0.064501,-0.764074
0.548730,-0.359835,0.053849,-0.752671
0.566292,-0.357443,0.044971,-0.741300
0.583754,-0.353990,0.036970,-0.729764
0.595115,-0.351963,0.031921,-0.721762
