body_0_vel_x,body_0_vel_y,body_0_vel_z
-0.054753,0.102199,-0.051586
-0.045388,0.075415,-0.005491
-0.040705,0.062023,0.017556
-0.087633,0.053619,0.012818
-0.071390,0.033419,0.032893
-0.038903,-0.006981,0.073044
-0.076559,-0.065103,0.103534
-0.095387,-0.094163,0.118780
-0.162055,-0.260292,0.360133
-0.157928,-0.306149,0.378765
-0.149674,-0.397861,0.416030
-0.206242,-0.430620,0.488397
-0.234525,-0.446999,0.524580
-0.223932,-0.684378,0.683571
-0.203071,-0.775776,0.699068
-0.161347,-0.958571,0.730062
-0.036392,-1.019320,0.733588
0.026085,-1.049695,0.735351
0.225878,-1.162298,0.741436
0.225558,-1.152270,0.700074
0.224919,-1.132214,0.617350
0.224128,-1.161225,0.693834
0.223732,-1.175730,0.732077
0.160246,-1.068907,0.840910
0.136051,-1.047883,0.855476
0.087662,-1.005836,0.884609
-0.009151,-1.014228,0.933458
-0.057557,-1.018424,0.957883
-0.064852,-0.629253,0.905535
-0.086827,-0.683820,0.883462
-0.130777,-0.792954,0.839317
-0.060859,-0.656197,0.802584
-0.025899,-0.587819,0.784217
-0.120149,-0.455017,0.679132
-0.174568,-0.471926,0.650735
-0.283406,-0.505743,0.593941
-0.237191,-0.536075,0.536824
-0.214083,-0.551240,0.508266
-0.016766,-0.487633,0.195109
0.007751,-0.452178,0.180215
0.056784,-0.381267,0.150427
0.023324,-0.375512,0.029812
0.006595,-0.372634,-0.030495
-0.027645,-0.230849,-0.008737
-0.038481,-0.256879,-0.012447
-0.060153,-0.308940,-0.019866
-0.074649,-0.292151,-0.026962
-0.081897,-0.283756,-0.030509
-0.088370,-0.315642,-0.026554
-0.083032,-0.305641,-0.006505
-0.072355,-0.285637,0.033594
-0.125475,-0.281141,0.088922
-0.152035,-0.278893,0.116587
-0.161326,-0.301831,0.048627
-0.166063,-0.289564,0.073351
-0.175538,-0.265031,0.122799
-0.220971,-0.291905,0.087200
-0.243688,-0.305343,0.069401
-0.263457,-0.243373,-0.046372
-0.279067,-0.214577,-0.109439
