body_0_w,body_0_x,body_0_y,body_0_z
0.112553,-0.013531,0.122705,0.985947
0.107418,-0.014395,0.123247,0.986440
0.106510,-0.013780,0.123089,0.986567
0.103086,-0.015438,0.123646,0.986837
0.098401,-0.018233,0.124558,0.987153
0.094640,-0.022864,0.123683,0.987534
0.090440,-0.028839,0.122480,0.987921
0.085362,-0.037498,0.120620,0.988311
0.082466,-0.047015,0.116782,0.988611
0.080655,-0.056957,0.111947,0.988797
0.074383,-0.067113,0.101831,0.989744
0.065795,-0.076533,0.093428,0.990497
0.052590,-0.084494,0.088478,0.991094
0.035089,-0.088769,0.080852,0.992145
0.015429,-0.091173,0.071863,0.993119
-0.004088,-0.092134,0.061370,0.993845
-0.021667,-0.092318,0.050919,0.994191
-0.035372,-0.091007,0.040592,0.994394
-0.048750,-0.090678,0.031665,0.994182
-0.061958,-0.090830,0.023435,0.993661
-0.072631,-0.092758,0.015773,0.992911
-0.083207,-0.095114,0.008638,0.991945
-0.093601,-0.098344,0.002558,0.990737
-0.102151,-0.101021,-0.002313,0.989623
-0.109777,-0.103420,-0.006581,0.988539
-0.116964,-0.105341,-0.009968,0.987483
-0.123957,-0.106677,-0.013144,0.986449
-0.130568,-0.106848,-0.015898,0.985537
-0.136009,-0.109034,-0.018021,0.984524
-0.140864,-0.112228,-0.019830,0.983448
-0.144732,-0.111106,-0.021557,0.982977
-0.148230,-0.110659,-0.023173,0.982469
-0.150988,-0.111564,-0.024568,0.981913
-0.153662,-0.112002,-0.025822,0.981416
-0.156292,-0.112204,-0.027007,0.980945
-0.158434,-0.113065,-0.024766,0.980562
-0.160490,-0.113432,-0.022878,0.980231
-0.162376,-0.112814,-0.021693,0.980019
-0.164618,-0.112961,-0.020875,0.979645
-0.167039,-0.113490,-0.020240,0.979188
-0.168876,-0.114768,-0.019868,0.978731
-0.171013,-0.115958,-0.019282,0.978231
-0.173750,-0.116973,-0.018266,0.977647
-0.177518,-0.119727,-0.017352,0.976653
-0.181799,-0.123346,-0.016487,0.975430
-0.186641,-0.124615,-0.017189,0.974341
-0.192315,-0.125660,-0.018168,0.973085
-0.199654,-0.126260,-0.019703,0.971498
-0.207007,-0.125368,-0.026405,0.969914
