joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.015494,-0.015912,0.001303,0.006698,-0.028516,0.010415,0.253289,-0.255981,-0.027316,0.238164,0.224660,-1.399704,-1.350617,-0.211244,-0.143068,0.685092,-0.868720,-0.013210,0.141755,-1.026123,1.118588,0.054241,-0.205332,-0.301678,0.303934,-0.294264,-0.234981,-0.009160,0.074266
-0.014680,-0.015175,0.002231,0.006713,-0.029451,0.010141,0.252004,-0.256656,-0.028195,0.237822,0.226174,-1.394055,-1.342072,-0.211654,-0.144569,0.692720,-0.873869,-0.013303,0.141715,-1.026233,1.116227,0.044508,-0.211617,-0.311600,0.311549,-0.291728,-0.231468,-0.012191,0.076948
-0.014219,-0.015182,0.002844,0.006394,-0.030174,0.009382,0.250335,-0.256834,-0.029224,0.237383,0.228084,-1.389284,-1.335429,-0.212827,-0.147120,0.696430,-0.876229,-0.013163,0.141342,-1.027014,1.114977,0.038874,-0.213314,-0.317537,0.315679,-0.290183,-0.229363,-0.013257,0.077408
-0.014826,-0.015863,0.003021,0.007060,-0.030818,0.008458,0.249583,-0.256857,-0.030193,0.240081,0.231334,-1.387128,-1.332903,-0.215127,-0.150910,0.695983,-0.875837,-0.012336,0.140015,-1.028458,1.114383,0.036933,-0.210873,-0.318234,0.314039,-0.289533,-0.228770,-0.012846,0.075886
-0.015968,-0.016881,0.002980,0.008219,-0.031422,0.007453,0.249289,-0.256802,-0.031132,0.244348,0.235255,-1.386279,-1.332436,-0.217991,-0.155320,0.693456,-0.874069,-0.011166,0.138212,-1.030234,1.114116,0.036839,-0.206361,-0.316311,0.309514,-0.289331,-0.228932,-0.011696,0.073372
-0.018659,-0.021204,0.002134,0.009924,-0.032936,0.006432,0.251334,-0.258364,-0.030979,0.251828,0.245325,-1.390419,-1.337902,-0.221498,-0.161538,0.686181,-0.868947,-0.008848,0.135319,-1.032683,1.114935,0.041168,-0.198127,-0.310101,0.302092,-0.291059,-0.231150,-0.008103,0.068307
-0.021976,-0.026196,0.001010,0.011679,-0.033997,0.005359,0.253803,-0.258845,-0.030908,0.260290,0.255462,-1.395324,-1.344698,-0.225358,-0.166983,0.678523,-0.864159,-0.006330,0.132816,-1.035504,1.116409,0.046671,-0.190082,-0.302068,0.293164,-0.293011,-0.233777,-0.004626,0.063411
-0.026541,-0.032528,-0.000672,0.013532,-0.034152,0.004183,0.257118,-0.257165,-0.031000,0.270716,0.265732,-1.401760,-1.354155,-0.229923,-0.170885,0.670097,-0.860038,-0.003414,0.131095,-1.039068,1.119196,0.054522,-0.182418,-0.290389,0.281226,-0.295411,-0.237225,-0.001384,0.058854
-0.031318,-0.038602,-0.002576,0.015351,-0.034054,0.003464,0.261157,-0.255869,-0.031061,0.280005,0.273551,-1.408076,-1.363426,-0.233829,-0.173820,0.663563,-0.858027,-0.000998,0.129614,-1.042830,1.122165,0.062165,-0.175140,-0.276823,0.267798,-0.298873,-0.241736,0.002722,0.051374
-0.036200,-0.044546,-0.004590,0.017153,-0.033828,0.002975,0.265557,-0.254763,-0.031106,0.288725,0.280143,-1.414333,-1.372604,-0.237404,-0.176271,0.657974,-0.857072,0.001168,0.128254,-1.046689,1.125225,0.069705,-0.168056,-0.262312,0.253625,-0.302866,-0.246779,0.007261,0.042433
-0.040270,-0.050159,-0.006389,0.018000,-0.033142,0.002705,0.269099,-0.253176,-0.032725,0.293164,0.282822,-1.418932,-1.380173,-0.238633,-0.176246,0.660206,-0.862638,0.002815,0.127073,-1.051949,1.130152,0.076746,-0.161227,-0.240518,0.238389,-0.309038,-0.253920,0.016059,0.031190
-0.043933,-0.054898,-0.008087,0.018707,-0.032685,0.002598,0.272257,-0.252326,-0.034209,0.296334,0.284189,-1.421991,-1.386264,-0.238949,-0.175949,0.666741,-0.871617,0.003898,0.125681,-1.056924,1.134870,0.084491,-0.153175,-0.218362,0.223279,-0.315875,-0.261738,0.025915,0.018838
-0.046780,-0.057886,-0.009580,0.019131,-0.032688,0.002815,0.274647,-0.252952,-0.035422,0.296965,0.282934,-1.421968,-1.389399,-0.237439,-0.175109,0.681882,-0.887425,0.003851,0.123865,-1.061328,1.139170,0.093647,-0.142679,-0.195477,0.208419,-0.324044,-0.270911,0.037890,0.004266
