body_0_angvel_x,body_0_angvel_y,body_0_angvel_z
-1.020421,-0.452772,-0.281351
-1.006932,-0.256179,-0.249539
-0.924439,-0.275376,-0.438388
-0.883007,-0.286036,-0.532616
-0.720497,-0.284733,-0.671990
-0.562734,-0.383726,-0.623701
-0.248839,-0.583144,-0.524821
0.060973,-0.551784,-0.385257
0.215550,-0.536752,-0.314618
0.227713,-0.815225,-0.144155
0.263609,-0.590873,-0.060750
0.334686,-0.142657,0.107664
0.392267,0.059883,0.178024
0.420900,0.161065,0.213584
0.338882,0.080219,0.156846
0.294158,0.095289,0.083982
0.204546,0.125781,-0.061572
0.090947,0.033255,-0.116952
0.034085,-0.012915,-0.144665
0.039108,-0.019190,0.017812
0.052549,-0.010919,0.035783
0.079423,0.005612,0.071735
0.049766,-0.022408,0.064840
0.034948,-0.036426,0.061382
-0.020056,0.054533,0.122926
-0.032425,-0.000708,0.083044
-0.057072,-0.111238,0.003315
-0.037541,-0.119952,0.018934
-0.027783,-0.124304,0.026756
0.145777,-0.069145,0.310937
0.091884,-0.054894,0.309268
-0.015987,-0.026723,0.305899
0.110997,0.122997,0.043606
0.174295,0.198030,-0.087536
-0.185267,-0.000198,0.482567
-0.152011,0.035794,0.514766
-0.085851,0.108220,0.579042
-0.248140,0.044283,0.616318
-0.329080,0.011863,0.635078
-0.350041,0.085067,0.849239
-0.387696,0.117958,0.971490
-0.463390,0.183966,1.215910
-0.554955,0.247302,1.522007
-0.600872,0.279134,1.675076
-0.750434,0.499085,2.323201
-0.777892,0.480836,2.657468
-0.829114,0.448394,3.328170
-0.935038,0.451163,3.629137
-0.987684,0.452206,3.781112
-1.027890,0.206100,4.527227
-1.031099,0.169290,4.854584
-1.034612,0.102445,5.518116
-0.822812,0.282678,5.865560
-0.722760,0.380482,6.043487
-0.548331,1.077869,5.816409
-0.572351,1.406273,5.589181
-0.664446,2.059528,5.141566
-0.553284,2.728842,4.903244
-0.517965,3.067206,4.785312
-0.951587,2.924540,3.318350
-0.838245,2.591634,2.699946
-0.625981,1.922607,1.464246
-0.680823,1.602876,0.782138
-0.712524,1.440700,0.442806
-0.044574,1.329456,0.325837
-0.039384,1.092310,0.411960
-0.025170,0.618184,0.584282
0.373966,0.217216,0.861598
0.575559,0.017951,0.999086
0.199482,-0.131333,1.006611
0.144026,-0.128437,1.038536
0.032986,-0.123896,1.102320
0.087443,-0.109595,1.019644
0.114644,-0.102135,0.978375
0.025895,-0.201147,0.867141
0.037812,-0.214002,0.858466
0.061907,-0.239510,0.841193
0.148311,-0.251758,0.902090
0.191493,-0.257543,0.932658
0.103586,-0.151892,0.716727
0.113761,-0.154660,0.779696
0.133966,-0.160188,0.905693
0.075273,-0.098332,0.827368
0.045711,-0.067621,0.788218
-0.107541,-0.058188,0.740799
-0.064070,-0.015413,0.521730
0.022491,0.070309,0.083552
-0.074042,-0.115130,0.360330
-0.122134,-0.207920,0.498732
0.038734,-0.418293,0.434299
0.057453,-0.548555,0.495043
0.095519,-0.808991,0.616612
0.290829,-0.937245,0.417974
0.389685,-1.000699,0.319404
0.893262,-1.010210,0.799123
0.711606,-0.902310,1.007985
0.342462,-0.693272,1.424072
0.594757,-0.300055,1.842372
0.716684,-0.102446,2.053208
