body_0_x,body_0_y,body_0_z
-0.058906,-1.215839,0.677465
-0.055239,-1.240849,0.703231
-0.052171,-1.265081,0.728487
-0.048035,-1.283815,0.745125
-0.045916,-1.299716,0.760897
-0.047829,-1.309950,0.774938
-0.047702,-1.327522,0.785942
-0.046555,-1.348763,0.795429
-0.043850,-1.366378,0.802398
-0.041165,-1.383849,0.807989
-0.038522,-1.401032,0.810824
-0.036762,-1.416665,0.813573
-0.035443,-1.431522,0.816278
-0.034200,-1.442693,0.817208
-0.034294,-1.454665,0.817459
-0.037065,-1.468239,0.816351
-0.039275,-1.481316,0.814021
-0.041205,-1.494145,0.811080
-0.044519,-1.507248,0.810101
-0.047337,-1.520212,0.808405
-0.049166,-1.532900,0.805274
-0.051183,-1.545552,0.801477
-0.053294,-1.558187,0.797346
-0.052951,-1.569763,0.791343
-0.052114,-1.581334,0.784552
-0.050287,-1.592895,0.776187
-0.049282,-1.604357,0.765664
-0.048687,-1.615771,0.754063
-0.049944,-1.626431,0.739246
-0.051871,-1.638115,0.721994
-0.055138,-1.651846,0.699872
-0.057475,-1.666565,0.673778
-0.059347,-1.681779,0.645699
-0.058494,-1.696502,0.613278
-0.057364,-1.710104,0.581750
-0.055679,-1.721463,0.552010
-0.054135,-1.732572,0.524479
-0.052661,-1.743558,0.498053
-0.044273,-1.744681,0.477583
-0.037064,-1.745477,0.459761
-0.032210,-1.745622,0.447236
-0.028079,-1.745078,0.437011
-0.024310,-1.744191,0.427936
-0.022477,-1.743732,0.421418
-0.020722,-1.742964,0.415547
-0.019123,-1.741575,0.410971
-0.017944,-1.741635,0.407372
-0.016975,-1.742420,0.404263
-0.016617,-1.742404,0.401725
-0.016638,-1.742672,0.399451
-0.017415,-1.743509,0.397708
-0.017751,-1.744112,0.396735
-0.017866,-1.744599,0.396147
-0.018487,-1.744906,0.395830
-0.018921,-1.745324,0.395612
-0.018979,-1.745963,0.395593
-0.019246,-1.746705,0.395561
-0.019618,-1.747498,0.395522
-0.019837,-1.748398,0.396263
-0.020056,-1.749663,0.397138
-0.020272,-1.751656,0.398283
-0.024380,-1.755072,0.401457
-0.030435,-1.759200,0.405646
-0.027810,-1.760528,0.408325
-0.026414,-1.763038,0.411553
-0.027472,-1.767909,0.415882
-0.026484,-1.771730,0.421187
-0.024473,-1.775027,0.426979
-0.021845,-1.776742,0.434813
-0.020079,-1.779055,0.443176
-0.020036,-1.782561,0.452595
-0.018222,-1.784085,0.463945
-0.015524,-1.784619,0.476259
-0.010914,-1.784570,0.495156
-0.006258,-1.784611,0.514427
-0.001511,-1.784834,0.534442
0.003472,-1.783968,0.557512
0.008572,-1.782557,0.582108
0.013934,-1.781043,0.605509
0.019256,-1.779596,0.629070
0.024498,-1.778285,0.652950
0.030121,-1.777183,0.675755
0.035934,-1.776186,0.698024
0.041743,-1.775845,0.716993
0.047639,-1.774818,0.735063
0.053712,-1.772418,0.751338
0.059677,-1.772503,0.760565
0.065588,-1.773831,0.766267
0.072156,-1.777328,0.769934
0.079746,-1.779743,0.774254
0.089382,-1.779994,0.779878
0.099869,-1.778954,0.782764
0.110783,-1.777270,0.784280
0.118593,-1.774045,0.785524
0.126009,-1.770672,0.786630
0.132640,-1.767001,0.787461
0.132580,-1.764086,0.785866
0.129176,-1.761550,0.783058
0.132728,-1.759648,0.783306
0.135241,-1.758010,0.783387
0.135676,-1.756901,0.783133
0.137372,-1.756693,0.783299
0.139700,-1.756937,0.783675
0.140466,-1.757858,0.783819
0.141599,-1.759330,0.783858
0.143466,-1.761904,0.783687
0.144415,-1.764540,0.783947
0.144907,-1.767208,0.784423
0.147204,-1.771900,0.784009
0.148897,-1.776702,0.783177
0.149382,-1.781724,0.781513
0.150215,-1.787655,0.778397
0.151222,-1.794040,0.774556
0.152343,-1.801272,0.766271
0.155165,-1.807314,0.757211
0.161389,-1.810975,0.746601
0.164897,-1.817020,0.732453
0.167048,-1.824257,0.716536
0.169268,-1.827758,0.696752
0.171852,-1.830152,0.676724
0.175168,-1.830332,0.656210
0.180477,-1.829527,0.633475
0.186783,-1.828230,0.609630
0.197635,-1.827367,0.582071
0.208280,-1.826490,0.555075
0.218512,-1.825585,0.529205
0.228457,-1.822720,0.507615
0.238258,-1.818876,0.488164
0.246543,-1.813780,0.473311
0.252756,-1.809283,0.459367
0.254823,-1.805984,0.447240
0.254943,-1.802325,0.436731
0.254090,-1.798487,0.427032
0.252419,-1.795615,0.420842
0.249994,-1.792998,0.415076
0.246063,-1.790890,0.410157
0.243351,-1.788997,0.406057
