joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
-0.040055,0.066602,0.119681,-0.116025,0.065125,0.039878,-0.244273,0.075415,-0.040017,-0.057430,-0.077726,-0.266224,0.047929,0.041437,0.051225,-0.276828,0.053468,-0.068997,0.089747,-0.042506,0.005690,-1.991231,-2.243189,-0.491143,1.040663,-0.069805,0.053486,-0.285050,0.568491
0.043261,0.134995,0.144511,-0.116237,0.048219,0.018927,-0.242388,0.023788,-0.021173,-0.153315,-0.137783,-0.149517,0.131729,0.029566,0.056397,-0.071687,-0.097657,-0.078093,0.098633,0.051713,-0.107832,-1.956165,-2.073384,-0.624398,1.074076,-0.064123,0.095246,-0.245998,0.585573
0.132024,0.180689,0.146334,-0.055522,-0.000526,-0.001522,-0.103200,-0.030755,-0.013636,-0.184952,-0.100477,0.082626,0.252979,0.046391,0.009373,0.210593,-0.230906,-0.025304,0.044408,0.137901,-0.221593,-1.689245,-1.616911,-0.707009,0.892065,0.041739,0.157621,-0.277953,0.532200
0.132427,0.199678,0.130660,-0.041781,0.011407,0.001139,-0.113369,-0.031954,-0.026082,-0.180482,-0.135150,0.151361,0.304127,0.048738,0.009219,0.274038,-0.283495,-0.024420,0.027608,0.144837,-0.219644,-1.556969,-1.485723,-0.776407,0.837873,0.079072,0.182299,-0.296321,0.473289
0.133233,0.237657,0.099313,-0.014299,0.035272,0.006461,-0.133706,-0.034351,-0.050976,-0.171543,-0.204496,0.288831,0.406423,0.053433,0.008912,0.400928,-0.388672,-0.022651,-0.005993,0.158708,-0.215746,-1.292416,-1.223346,-0.915204,0.729489,0.153738,0.231654,-0.333057,0.355467
0.131080,0.164872,0.093807,-0.022376,0.002922,0.018810,-0.097188,-0.024348,-0.057958,-0.228302,-0.143083,0.319318,0.497999,0.044471,0.009961,0.525454,-0.407059,-0.031960,0.023262,0.145135,-0.223697,-1.048795,-0.973108,-0.879857,0.813120,0.180149,0.241161,-0.298518,0.245452
0.130004,0.128479,0.091054,-0.026414,-0.013252,0.024985,-0.078928,-0.019346,-0.061449,-0.256681,-0.112377,0.334561,0.543787,0.039990,0.010486,0.587717,-0.416252,-0.036614,0.037889,0.138348,-0.227673,-0.926984,-0.847988,-0.862184,0.854935,0.193355,0.245914,-0.281248,0.190445
0.049601,0.055431,0.054299,0.009164,-0.052109,-0.001547,-0.054639,-0.046132,-0.040197,-0.014604,0.065774,0.304463,0.474815,-0.001378,-0.048801,0.479270,-0.327122,-0.010470,0.006354,0.011337,-0.145844,-0.589205,-0.428935,-0.595724,0.467826,0.151551,0.210824,-0.200711,0.189687
0.040750,0.036840,0.046409,0.000792,-0.046783,-0.013692,-0.064238,-0.033733,-0.043947,-0.017065,0.075687,0.282489,0.427264,-0.020474,-0.075056,0.381361,-0.257426,-0.004652,-0.001989,-0.005460,-0.118059,-0.486693,-0.314247,-0.496098,0.380720,0.126789,0.175626,-0.151574,0.134128
0.023047,-0.000341,0.030628,-0.015954,-0.036133,-0.037982,-0.083435,-0.008934,-0.051448,-0.021986,0.095513,0.238541,0.332161,-0.058666,-0.127565,0.185543,-0.118033,0.006983,-0.018675,-0.039053,-0.062488,-0.281669,-0.084870,-0.296845,0.206509,0.077264,0.105232,-0.053301,0.023009
-0.030373,-0.034061,0.008838,0.033304,-0.032194,-0.046178,-0.037615,-0.001132,-0.048454,0.134918,0.162514,0.107805,0.126289,-0.115007,-0.189517,-0.022380,0.019605,0.041337,-0.066326,-0.072215,-0.029706,-0.097045,0.122081,-0.034854,-0.081996,0.032495,0.029675,0.020560,-0.076116
-0.057083,-0.050921,-0.002057,0.057932,-0.030224,-0.050276,-0.014705,0.002770,-0.046957,0.213371,0.196014,0.042436,0.023353,-0.143177,-0.220492,-0.126341,0.088423,0.058513,-0.090151,-0.088795,-0.013314,-0.004732,0.225556,0.096142,-0.226249,0.010110,-0.008103,0.057491,-0.125678
-0.134589,-0.216138,-0.042263,0.085272,-0.075689,-0.051031,0.102258,-0.078097,0.007664,0.374001,0.503536,-0.207002,-0.273288,-0.175378,-0.310887,-0.363736,0.256087,0.115903,-0.144652,-0.122455,0.040913,0.216444,0.411741,0.310518,-0.371108,-0.086423,-0.110879,0.179692,-0.253260
-0.165814,-0.249624,-0.056212,0.087731,-0.053049,-0.053632,0.123426,-0.024070,0.003575,0.423101,0.506856,-0.245259,-0.339810,-0.193001,-0.272282,-0.382916,0.239407,0.125874,-0.125127,-0.141045,0.073721,0.275147,0.402232,0.401649,-0.446370,-0.097609,-0.131378,0.173823,-0.244800
-0.228264,-0.316595,-0.084111,0.092650,-0.007769,-0.058835,0.165761,0.083984,-0.004602,0.521300,0.513497,-0.321772,-0.472852,-0.228248,-0.195072,-0.421275,0.206047,0.145818,-0.086076,-0.178224,0.139339,0.392552,0.383213,0.583911,-0.596895,-0.119980,-0.172375,0.162084,-0.227882
